,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,14,5,4,8,8,5,4,12,4,6,4,7,4,2,2,2,1,1,4,4,11,4,13,4,8,3,2,7,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,
['5',4,4,4,3,13,5,4,8,8,5,4,12,4,6,3,6,4,2,2,3,1,1,4,4,12,3,12,3,7,3,2,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,
['10',4,4,4,3,13,4,4,8,8,5,4,12,4,4,2,6,4,3,3,2,1,1,4,4,11,3,12,3,7,3,3,8,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,
['15',4,4,4,3,14,4,4,8,8,6,4,12,4,5,2,4,3,2,2,2,1,1,4,4,11,4,13,4,8,4,4,7,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,
['20',4,4,4,3,13,3,4,8,8,5,4,12,4,5,1,6,4,2,2,2,1,1,4,4,12,4,13,4,9,4,2,8,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,
['25',4,4,4,3,14,6,4,8,8,6,4,12,4,3,0,4,4,3,2,1,0,0,4,4,12,4,13,4,8,4,4,7,4,4,4,4,3,4,4,4,4,4,4,3,3,4,3,4,3,3,4,4,4,4,4,
Drops,0,0,0,0,1,2,0,0,0,0,0,0,0,3,4,3,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0.4909090909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,3,3,3,4,12,6,4,4,8,5,5,14,4,4,1,8,4,3,3,2,2,3,4,4,7,3,10,3,6,4,2,6,4,4,3,4,3,5,4,4,4,4,5,4,3,3,2,2,2,1,2,4,4,4,4,
['5',3,3,3,4,13,6,4,5,8,5,5,15,4,4,1,7,4,3,3,3,1,1,4,4,7,3,10,4,7,4,2,6,4,4,3,4,3,5,4,4,4,3,4,3,3,4,3,3,2,1,2,4,3,4,4,
['10',3,3,3,4,12,5,4,6,8,5,5,14,4,1,0,8,4,3,3,0,1,2,4,4,8,3,9,3,8,4,2,7,4,4,3,4,3,5,5,3,4,3,4,2,3,3,3,2,3,1,2,4,3,4,4,
['15',4,4,4,2,12,5,4,4,6,5,5,15,4,1,1,8,4,3,2,1,1,1,4,4,6,3,7,3,5,4,2,6,4,4,3,4,3,4,4,4,4,4,5,4,2,3,2,3,2,1,2,4,4,4,4,
['20',3,3,3,3,9,6,4,3,8,3,5,13,4,3,1,7,4,3,4,1,1,1,3,3,8,4,8,4,7,3,2,7,2,3,3,4,3,5,4,4,4,2,3,3,3,2,3,2,2,2,2,4,3,4,4,
['25',3,2,2,3,12,5,4,3,7,5,4,15,4,0,1,6,4,3,4,0,0,2,3,3,7,3,11,4,6,3,2,5,3,3,3,4,3,5,4,3,4,4,4,4,2,1,1,2,2,2,2,3,4,4,4,
Drops,0,1,1,2,3,1,0,1,2,2,1,1,0,4,1,2,0,0,1,2,2,2,1,1,1,0,3,0,1,1,0,1,2,1,0,0,0,1,0,1,0,2,2,2,1,2,1,0,0,0,0,1,1,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
