,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,14,5,4,8,8,5,4,12,4,6,4,7,4,2,2,2,1,1,4,4,11,4,13,4,8,3,2,7,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,
['900',4,4,4,3,13,3,4,8,8,5,4,12,4,5,4,6,3,3,3,3,0,2,4,4,11,4,13,4,7,4,4,7,4,4,4,4,4,5,4,2,4,4,4,3,4,4,4,4,3,3,3,4,5,4,4,
['800',4,4,4,3,13,4,4,8,8,5,4,12,4,4,3,6,3,3,3,3,0,2,4,4,11,4,13,4,7,4,4,7,4,4,4,4,4,5,4,2,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,
['700',4,4,4,3,13,3,4,8,8,5,4,12,4,5,4,6,3,3,3,2,0,1,4,4,11,4,12,4,7,4,4,7,4,4,4,3,3,5,4,2,3,4,4,3,4,4,4,3,3,3,3,4,4,4,4,
['600',4,4,4,3,13,4,4,8,8,6,4,12,4,5,1,4,3,3,2,2,0,0,4,4,12,4,11,4,7,4,4,7,4,4,4,3,3,5,4,2,3,4,4,3,4,4,4,3,3,3,3,4,4,4,4,
['500',4,4,4,3,13,4,4,8,8,5,4,14,4,5,1,3,3,3,2,2,0,0,4,4,11,4,12,4,8,3,3,6,4,4,4,3,3,4,3,2,3,4,4,3,4,4,4,2,3,3,3,4,4,4,4,
Drops,0,0,0,0,1,2,0,0,0,0,0,0,0,2,3,4,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,1,2,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0.5272727273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,3,3,3,4,12,6,4,4,8,5,5,14,4,4,1,8,4,3,3,2,2,3,4,4,7,3,10,3,6,4,2,6,4,4,3,4,3,5,4,4,4,4,5,4,3,3,2,2,2,1,2,4,4,4,4,
['900',3,3,3,3,11,6,4,4,7,6,5,15,3,4,1,8,4,3,4,1,1,1,4,4,9,4,9,4,7,3,2,8,4,4,3,4,3,5,4,4,3,3,4,2,3,2,3,2,3,2,3,4,3,4,4,
['800',2,2,2,2,10,6,4,4,7,5,5,14,3,4,0,7,4,3,4,2,0,0,4,4,8,4,10,4,7,3,2,8,4,4,3,4,3,5,4,4,4,2,3,3,3,3,4,1,4,2,3,4,3,4,4,
['700',2,2,2,2,9,6,4,4,7,5,5,14,3,3,0,6,4,3,4,2,1,1,4,4,8,4,10,4,6,3,2,9,4,4,3,4,3,5,4,4,4,2,3,3,3,3,4,1,4,2,3,4,3,4,4,
['600',4,2,2,2,10,6,4,4,7,6,5,16,2,3,0,6,3,2,3,0,0,0,4,4,8,4,10,4,4,3,2,7,4,4,3,4,3,5,5,3,4,3,4,3,3,3,4,2,4,2,3,4,3,4,4,
['500',3,3,2,1,8,7,4,4,7,4,5,14,3,3,0,4,3,2,2,2,0,0,1,1,7,2,6,3,5,3,2,8,3,3,3,4,3,4,4,2,4,3,5,1,2,3,3,0,4,2,3,4,3,4,4,
Drops,1,1,1,3,4,0,0,0,1,1,0,0,2,1,1,4,1,1,1,2,2,3,3,3,0,1,4,0,2,1,0,0,1,1,0,0,0,1,0,2,1,2,2,3,1,1,0,2,0,0,0,0,1,0,0,1.127272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
