,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,14,5,4,8,8,5,4,12,4,6,4,7,4,2,2,2,1,1,4,4,11,4,13,4,8,3,2,7,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,
['0.9',4,4,4,4,15,4,4,8,8,4,4,12,4,3,3,8,4,4,4,3,2,3,4,4,11,3,11,3,7,4,3,8,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,
['0.8',4,4,4,2,10,3,4,5,5,5,4,11,4,4,3,4,4,4,4,3,1,1,3,3,7,2,6,2,6,2,1,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,
['0.7',3,3,3,2,9,3,3,4,4,4,3,9,3,3,1,7,2,1,1,1,1,1,2,2,6,1,9,0,7,3,2,5,2,3,3,3,3,3,2,1,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,
['0.6',0,3,0,0,0,1,1,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,
['0.5',0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drops,1,1,1,1,5,2,1,4,4,1,1,3,1,3,3,3,2,1,1,1,0,0,2,2,5,3,7,4,2,1,1,3,2,2,2,2,2,1,2,3,2,2,2,2,2,2,1,2,0,0,1,1,1,1,1,1.927272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,3,3,3,4,12,6,4,4,8,5,5,14,4,4,1,8,4,3,3,2,2,3,4,4,7,3,10,3,6,4,2,6,4,4,3,4,3,5,4,4,4,4,5,4,3,3,2,2,2,1,2,4,4,4,4,
['0.9',4,3,3,4,12,6,4,3,8,3,5,15,4,4,1,6,4,3,4,4,2,2,4,4,9,4,10,3,8,4,3,9,4,4,3,4,3,5,4,4,4,2,3,4,3,3,4,4,3,3,3,4,4,4,4,
['0.8',3,4,3,2,11,4,4,3,5,5,4,13,3,1,1,4,3,3,3,1,2,2,3,3,7,3,9,3,9,4,2,8,3,3,3,4,3,4,5,3,4,1,2,2,2,3,3,2,3,3,3,3,3,4,4,
['0.7',2,2,2,2,7,2,2,2,3,2,3,6,1,1,1,4,2,2,2,1,1,1,2,2,5,3,4,2,6,1,1,4,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,
['0.6',0,1,0,1,4,3,0,0,0,3,2,3,1,1,1,1,2,1,1,0,0,0,1,1,4,2,3,0,0,0,0,2,1,1,1,1,3,1,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,1,1,
['0.5',0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drops,1,1,1,2,5,4,2,2,5,3,2,8,3,3,0,4,2,1,1,1,1,2,2,2,2,0,6,1,0,3,1,2,2,2,1,2,2,4,3,3,2,3,4,3,2,2,0,0,0,0,0,2,3,2,2,2.127272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
