,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['10',4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['20',4,4,4,3,12,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,3,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['30',4,4,4,3,11,4,4,8,8,4,4,13,4,4,3,7,4,4,4,4,4,4,4,4,12,4,14,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,
['40',4,4,4,3,11,3,3,7,8,4,4,12,4,3,3,7,4,4,4,4,4,4,4,4,12,4,14,4,8,4,4,8,3,3,4,4,4,4,4,4,4,2,3,2,4,4,4,3,4,4,4,4,4,4,4,
['50',4,4,4,3,10,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,
Drops,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0.2727272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,12,5,4,3,8,4,5,16,4,4,2,9,4,3,4,4,4,4,4,4,10,4,13,4,8,4,3,8,4,4,3,4,4,5,5,4,4,4,4,3,3,4,4,4,3,2,3,4,4,4,4,
['10',4,4,4,2,10,5,4,3,9,3,5,16,3,4,1,8,4,3,4,4,3,4,4,4,9,3,11,4,8,4,3,8,4,3,3,4,4,5,4,4,4,3,3,3,3,4,4,4,4,3,2,4,4,4,4,
['20',4,4,4,1,8,5,4,3,8,4,5,16,4,4,2,9,4,3,4,4,4,4,4,4,9,4,14,3,9,4,2,7,4,4,3,4,4,5,5,4,3,3,3,2,3,5,3,3,3,1,2,4,4,4,4,
['30',5,4,4,3,10,5,4,3,7,3,5,17,4,4,2,7,3,2,3,4,3,3,4,4,10,4,13,3,8,4,3,6,4,3,3,4,4,5,4,3,3,4,4,4,2,4,3,3,2,2,2,4,4,4,4,
['40',4,4,4,2,9,6,4,4,8,3,4,19,4,4,1,7,3,3,4,3,3,3,4,4,11,4,12,3,6,3,2,9,4,3,3,4,4,4,4,3,4,4,3,2,3,4,3,3,5,3,3,4,4,4,4,
['50',3,3,3,2,7,5,3,2,7,2,4,15,4,5,2,7,4,3,3,4,3,3,4,4,10,4,12,4,7,4,2,10,4,4,3,4,4,3,2,2,2,3,2,0,3,4,2,3,4,2,2,2,3,3,3,
Drops,1,1,1,1,5,0,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,1,0,0,1,1,2,1,2,1,1,2,0,1,0,0,0,2,3,2,2,1,2,3,1,0,2,1,1,1,1,2,1,1,1,1.181818182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
