,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['900',2,1,1,1,10,4,3,4,5,4,4,15,4,2,1,5,2,2,2,4,2,4,4,4,12,4,13,3,8,4,4,7,3,3,4,4,4,5,4,4,4,1,1,1,2,4,4,4,3,5,3,3,4,4,4,
['800',1,1,1,0,7,3,2,2,2,2,4,13,4,4,1,5,1,1,1,5,1,3,4,4,12,4,11,3,7,4,4,7,2,2,2,2,2,4,3,3,3,0,0,0,0,3,2,2,3,4,3,3,3,3,3,
['700',1,1,1,0,7,2,2,2,2,3,3,14,2,1,0,1,0,0,0,4,0,0,1,0,11,2,9,2,6,4,6,8,1,1,2,2,2,2,1,1,1,0,1,0,0,3,3,3,4,4,3,3,3,3,3,
['600',0,1,0,0,4,3,2,0,0,2,2,13,1,0,0,0,0,0,0,3,0,0,0,0,8,2,7,2,6,4,4,4,0,0,1,0,0,3,0,0,0,0,1,0,0,2,3,3,1,2,1,1,1,1,1,
['500',0,1,0,0,3,3,1,0,0,2,2,15,1,0,0,2,0,0,0,2,0,0,0,0,3,1,4,1,4,4,5,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,1,3,1,0,
Drops,4,3,4,3,8,2,3,8,8,2,2,0,3,4,3,8,4,4,4,2,4,4,4,4,9,3,9,3,4,0,0,6,4,4,3,4,4,2,4,4,4,4,4,3,4,3,3,3,3,2,2,3,3,3,4,3.745454545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,12,5,4,3,8,4,5,16,4,4,2,9,4,3,4,4,4,4,4,4,10,4,13,4,8,4,3,8,4,4,3,4,4,5,5,4,4,4,4,3,3,4,4,4,3,2,3,4,4,4,4,
['900',2,1,0,0,7,2,2,2,3,2,5,11,2,5,0,0,0,0,0,2,0,0,0,0,5,1,3,0,4,2,2,4,1,1,1,1,0,1,0,1,0,0,2,0,1,2,3,3,1,1,1,3,5,3,3,
['800',2,0,0,0,4,3,1,2,2,1,3,5,2,4,0,1,0,0,0,2,0,0,0,0,4,0,3,0,3,1,1,4,1,1,1,0,0,1,0,1,0,0,2,0,1,3,3,3,3,1,1,1,3,1,1,
['700',1,1,0,0,4,2,1,0,0,2,2,10,1,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,5,2,2,3,1,1,1,0,0,0,0,1,0,0,2,0,0,0,2,0,2,1,1,1,4,0,0,
['600',1,1,0,0,4,1,1,0,0,1,1,8,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,1,1,1,0,0,
['500',0,3,0,0,3,1,1,0,0,1,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2,0,0,
Drops,4,4,4,2,9,4,3,3,8,3,5,11,4,4,2,9,4,3,4,3,4,4,4,4,10,4,12,4,6,3,2,7,4,4,3,4,4,5,5,4,4,4,4,3,3,4,3,4,2,1,2,3,3,4,4,4.327272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
