,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English
Original,4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['10',4,4,4,3,11,4,4,8,8,4,4,12,4,4,2,7,3,3,3,4,3,4,4,4,12,4,14,4,8,4,4,7,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['8',4,4,4,3,12,4,4,8,7,5,4,14,4,5,2,7,3,3,3,5,3,3,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,3,3,5,4,3,3,3,4,4,4,4,4,3,4,4,4,4,
['6',4,4,4,4,12,4,4,7,7,4,4,13,4,5,2,8,3,3,3,5,3,3,4,4,12,4,14,4,8,4,4,7,4,4,4,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,
['4',3,4,4,3,11,4,4,7,7,4,4,12,4,4,2,7,3,3,3,5,3,4,4,4,12,4,14,4,8,4,4,8,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,
['2',4,4,4,3,12,4,4,6,6,5,4,14,4,5,2,7,3,3,3,5,3,3,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,3,3,4,2,2,1,2,4,4,3,4,4,3,4,4,4,4,
Drops,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0.4363636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ganda
Original,4,4,4,2,12,5,4,3,8,4,5,16,4,4,2,9,4,3,4,4,4,4,4,4,10,4,13,4,8,4,3,8,4,4,3,4,4,5,5,4,4,4,4,3,3,4,4,4,3,2,3,4,4,4,4,
['10',5,4,4,2,10,5,4,6,7,4,5,17,4,5,1,7,4,3,3,4,1,2,3,3,8,4,11,3,10,3,1,7,4,3,3,4,3,4,4,3,2,2,2,1,3,5,4,4,3,1,2,4,3,4,4,
['8',4,3,3,2,9,5,4,6,8,3,5,16,4,5,1,6,4,3,2,5,1,3,4,4,6,4,9,2,6,2,2,7,4,3,3,4,4,6,4,4,2,2,2,1,3,3,3,3,3,1,2,3,3,4,4,
['6',3,3,3,2,10,6,4,6,6,4,4,13,4,7,1,6,3,2,2,5,0,0,3,3,6,3,10,3,9,3,1,6,4,3,3,4,4,3,2,2,1,2,2,0,3,4,3,3,3,1,2,3,4,4,4,
['4',5,4,4,2,9,4,3,5,5,3,4,13,4,6,1,5,3,2,2,6,0,0,2,1,9,4,9,2,8,2,1,6,4,3,3,4,3,3,2,2,1,2,3,1,3,4,3,3,2,3,3,3,3,4,4,
['2',4,2,3,1,6,7,3,3,5,1,3,10,3,6,1,5,2,1,0,6,0,0,3,1,7,4,7,2,7,1,1,4,4,2,2,3,3,1,0,0,0,1,2,0,3,5,3,3,3,1,3,2,4,4,3,
Drops,1,2,1,1,6,1,1,0,3,3,2,6,1,0,1,4,2,2,4,0,4,4,2,3,4,1,6,2,2,3,2,4,0,2,1,1,1,4,5,4,4,3,2,3,0,1,1,1,1,1,1,2,1,0,1,2.145454545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French
