,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,8,8,4,4,12,4,0,3,8,4,3,3,0,3,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['0.05',4,4,4,4,14,4,4,8,8,4,4,12,4,1,3,8,4,3,3,0,2,3,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,3,4,4,4,4,4,0,4,4,4,3,3,4,4,4,4,
['0.04',4,4,4,4,15,4,4,8,8,4,4,12,4,1,3,8,4,3,3,0,2,3,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,3,4,4,4,4,4,0,4,4,4,3,4,4,4,4,4,
['0.03',4,4,4,3,13,3,4,8,8,4,4,12,4,1,2,8,4,4,4,0,2,3,4,4,12,4,11,4,8,4,4,8,4,4,4,4,4,4,3,2,4,4,4,4,4,0,4,4,4,3,4,4,4,4,4,
['0.02',4,4,4,3,13,3,3,8,8,3,4,12,4,0,1,5,4,3,3,0,1,2,3,3,12,3,9,3,7,3,3,7,3,3,3,4,4,3,3,2,4,4,4,4,3,0,3,4,4,3,3,4,4,4,4,
['0.01',4,4,3,2,8,2,2,6,7,3,4,10,4,0,0,4,3,3,3,0,1,2,3,3,10,3,9,3,6,3,3,5,3,3,3,3,3,3,2,2,3,3,3,3,4,0,3,3,2,2,1,3,3,4,4,
Drops,0,0,1,2,8,2,2,2,1,1,0,2,0,0,3,4,1,0,0,0,2,2,1,1,2,1,3,1,2,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1,2,2,3,1,1,0,0,1.363636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,2,3,4,15,5,4,7,9,4,5,11,4,0,1,9,4,3,4,2,4,4,4,4,10,4,12,5,8,3,3,8,4,4,3,4,3,5,5,4,4,4,5,4,3,1,4,4,3,3,3,4,4,4,4,
['0.05',4,2,3,3,14,6,4,5,9,4,5,13,4,0,1,10,4,3,4,1,3,4,4,4,10,4,12,5,8,3,2,9,4,4,3,4,3,3,3,2,4,4,5,4,3,1,4,3,4,4,3,4,4,4,4,
['0.04',4,2,3,3,13,6,4,6,9,4,5,11,4,0,1,10,4,3,4,1,3,4,4,4,11,4,13,5,8,3,2,10,4,5,3,4,3,3,3,2,4,4,5,4,3,0,4,3,4,4,2,4,4,4,4,
['0.03',4,2,3,4,14,6,4,5,9,5,6,12,4,0,1,9,4,3,4,1,4,4,4,4,10,4,12,4,8,3,2,8,4,5,3,4,3,3,3,1,4,4,5,5,3,0,3,3,4,4,2,4,4,4,4,
['0.02',4,2,3,3,12,5,4,5,9,5,5,12,4,0,1,8,4,3,4,1,3,4,3,3,9,4,9,3,7,2,1,8,4,4,2,4,3,2,2,1,4,4,5,3,3,0,3,3,4,4,2,4,4,4,4,
['0.01',4,2,2,4,9,4,4,4,8,3,6,11,4,1,1,7,4,3,4,1,3,4,4,4,9,4,6,1,5,1,1,8,2,3,3,4,4,1,1,1,4,4,4,3,3,0,2,3,3,2,1,4,4,4,4,
Drops,0,0,1,1,6,1,0,3,1,1,0,0,0,0,0,2,0,0,0,1,1,0,1,1,1,0,6,4,3,2,2,0,2,1,1,0,0,4,4,3,0,0,1,1,0,1,2,1,0,1,2,0,0,0,0,1.127272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
