,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,8,8,4,4,12,4,0,3,8,4,3,3,0,3,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['900',4,4,4,4,14,4,4,8,8,4,4,12,4,1,3,8,4,4,4,0,0,3,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,3,4,4,4,4,
['800',4,4,4,4,14,4,4,8,8,5,4,12,4,0,3,7,4,4,4,1,0,2,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,3,4,4,4,4,
['700',4,4,4,4,13,4,4,8,8,5,4,12,4,0,3,7,4,4,4,0,0,2,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,4,3,4,4,4,4,0,4,4,4,3,3,4,4,4,4,
['600',4,4,4,4,13,4,4,8,8,5,4,12,4,1,3,6,3,4,4,0,0,2,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,4,2,3,3,3,4,0,4,4,4,3,3,4,4,4,4,
['500',5,4,4,2,10,3,4,6,8,6,4,12,4,0,1,4,3,2,1,0,0,2,2,2,12,4,11,4,8,4,4,7,4,3,4,4,4,4,4,4,2,2,1,1,3,0,4,2,4,2,3,4,4,4,4,
Drops,0,0,0,2,6,1,0,2,0,0,0,0,0,0,2,4,1,1,2,0,3,2,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,3,3,1,0,0,2,0,2,1,0,0,0,0,0.8909090909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,2,3,4,15,5,4,7,9,4,5,11,4,0,1,9,4,3,4,2,4,4,4,4,10,4,12,5,8,3,3,8,4,4,3,4,3,5,5,4,4,4,5,4,3,1,4,4,3,3,3,4,4,4,4,
['900',4,2,3,2,13,5,4,6,9,5,5,10,4,1,2,8,4,3,4,0,0,2,4,4,10,4,12,3,8,3,3,7,4,4,3,4,4,5,5,4,3,4,5,4,3,1,4,3,2,3,3,4,4,4,4,
['800',4,2,3,2,12,5,4,6,9,5,5,10,4,1,2,8,4,3,4,0,0,2,4,4,10,4,12,4,8,3,3,7,4,4,3,5,4,5,5,4,3,4,5,4,3,1,4,3,2,3,3,4,4,4,4,
['700',4,3,2,2,13,5,4,6,9,5,5,11,4,1,1,7,4,3,4,1,0,2,3,3,10,4,12,4,7,3,3,7,4,4,3,5,4,6,4,4,3,4,5,4,3,1,4,3,4,3,3,4,4,4,4,
['600',4,4,3,2,12,5,4,6,9,4,6,14,4,0,0,4,3,3,4,1,0,1,1,0,9,4,10,2,9,3,3,7,4,4,3,4,3,6,4,2,4,3,4,3,3,1,3,2,5,2,3,4,3,4,4,
['500',5,4,3,2,11,5,4,6,7,4,6,12,4,0,0,4,3,2,3,1,0,1,0,0,10,4,8,2,8,3,2,7,4,4,3,4,4,4,2,2,3,4,5,3,3,0,2,1,4,2,3,4,3,4,4,
Drops,0,0,1,2,4,0,0,1,2,0,0,1,0,0,1,5,1,1,1,2,4,3,4,4,1,0,4,3,1,0,1,1,0,0,0,0,0,1,3,2,1,1,1,1,0,1,2,3,1,1,0,0,1,0,0,1.218181818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
