,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,8,8,4,4,12,4,0,3,8,4,3,3,0,3,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['0.9',4,4,4,4,15,4,4,8,8,4,4,12,4,0,3,8,4,4,3,0,3,3,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['0.8',4,4,4,4,15,4,4,8,8,4,4,12,4,1,3,8,4,3,3,0,2,3,4,4,12,4,11,3,8,4,4,8,4,4,4,4,4,4,4,3,4,3,3,3,4,0,4,4,4,3,4,4,4,4,4,
['0.7',5,4,3,2,10,3,4,7,7,4,4,11,4,0,3,7,3,3,3,0,1,3,3,3,11,3,11,3,9,4,3,6,4,4,4,4,4,4,3,2,4,4,4,3,3,0,3,3,3,3,3,4,2,4,4,
['0.6',3,3,1,0,7,1,3,4,5,4,3,7,4,0,2,4,2,2,2,0,0,1,3,3,6,2,7,2,6,3,3,4,2,2,3,1,2,2,2,2,3,3,0,0,2,1,1,1,2,2,2,2,2,3,3,
['0.5',1,1,0,0,0,1,0,0,2,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
Drops,0,0,1,2,6,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,2,1,1,1,1,1,1,1,0,0,1,2,0,0,0,0,0,0,1,2,0,1,1,1,1,0,1,1,1,1,1,0,2,0,0,0.7454545455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,2,3,4,15,5,4,7,9,4,5,11,4,0,1,9,4,3,4,2,4,4,4,4,10,4,12,5,8,3,3,8,4,4,3,4,3,5,5,4,4,4,5,4,3,1,4,4,3,3,3,4,4,4,4,
['0.9',4,3,3,4,16,5,4,7,9,4,5,10,4,0,1,9,4,3,4,2,4,4,4,4,10,4,12,5,8,3,3,8,4,4,3,4,3,5,4,3,4,4,5,4,3,1,4,3,4,2,3,4,4,4,4,
['0.8',4,3,3,3,15,5,4,6,9,5,5,10,4,0,1,8,4,3,4,1,2,2,4,4,10,4,12,5,8,3,3,6,4,4,3,4,3,5,4,2,4,4,5,5,3,1,4,3,5,2,3,4,4,4,4,
['0.7',3,1,1,3,12,5,4,4,9,6,5,11,3,1,1,6,4,3,4,1,2,2,4,4,8,4,7,3,10,2,2,6,3,3,3,4,2,4,4,2,4,4,4,5,3,0,3,3,6,2,3,4,3,4,4,
['0.6',3,1,0,2,8,6,2,0,3,4,5,8,5,1,1,2,3,3,3,0,0,0,3,2,5,3,4,1,10,2,2,3,1,2,3,2,2,1,0,0,1,3,0,1,0,2,0,0,3,1,3,3,3,2,2,
['0.5',0,0,0,1,1,2,0,0,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Drops,1,1,2,1,3,0,0,3,0,0,0,1,1,0,0,3,0,0,0,1,2,2,0,0,2,0,5,2,0,1,1,2,1,1,0,0,1,1,1,2,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0.8545454545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
