,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,14,5,4,8,8,5,4,12,4,6,4,7,4,2,2,2,1,1,4,4,11,4,13,4,8,3,2,7,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,
['500',4,4,4,3,14,5,4,8,8,5,4,12,4,5,3,5,3,2,2,2,1,1,3,3,11,4,11,3,7,3,2,8,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,4,
['600',4,4,4,4,14,5,4,8,8,5,4,12,4,4,3,5,3,3,3,2,1,1,4,4,11,4,13,4,8,4,4,8,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,
['700',4,4,4,3,11,3,3,6,6,4,3,9,3,5,2,4,2,2,2,2,1,1,3,3,7,4,8,3,7,4,4,5,3,3,2,3,2,3,3,2,3,2,4,2,3,3,3,3,2,2,2,3,3,3,3,
['800',4,4,4,2,10,3,3,5,5,4,3,9,3,4,2,4,2,2,2,2,1,1,3,3,7,3,8,2,6,3,2,5,3,3,3,2,2,2,2,2,3,2,2,1,2,2,3,2,2,2,2,3,3,3,3,
['900',3,4,3,2,8,3,3,4,4,4,3,7,3,4,1,3,1,1,1,2,1,1,3,3,5,3,7,2,6,3,2,3,3,3,3,2,2,2,2,1,2,2,2,0,1,1,2,0,0,0,0,2,2,2,2,
Drops,1,0,1,1,6,2,1,4,4,1,1,5,1,2,3,4,3,1,1,0,0,0,1,1,6,1,6,2,2,0,0,4,1,1,2,2,2,1,2,3,2,2,2,4,3,3,2,4,2,3,4,2,2,2,2,2.145454545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,3,3,3,4,12,6,4,4,8,5,5,14,4,4,1,8,4,3,3,2,2,3,4,4,7,3,10,3,6,4,2,6,4,4,3,4,3,5,4,4,4,4,5,4,3,3,2,2,2,1,2,4,4,4,4,
['500',2,2,2,3,11,5,3,2,5,5,5,14,4,2,1,7,4,3,4,1,0,1,3,3,7,3,11,4,7,3,2,6,4,4,3,4,3,5,5,4,4,3,4,3,2,3,3,3,3,2,2,4,4,4,4,
['600',2,2,2,4,13,7,4,3,6,4,5,11,4,1,1,7,4,3,4,0,0,1,3,3,7,3,10,3,7,2,1,5,3,3,2,3,2,4,2,3,3,1,2,1,2,2,2,1,3,2,2,4,3,4,4,
['700',2,3,2,2,10,5,3,2,4,3,3,10,3,2,1,6,4,3,4,0,0,1,3,3,6,3,8,3,6,2,1,5,3,3,3,4,2,2,2,3,3,1,2,1,1,2,3,2,3,2,2,4,3,4,4,
['800',2,2,2,3,10,5,3,1,3,3,3,9,4,0,0,5,4,3,4,1,1,2,3,3,6,3,7,3,6,2,1,5,3,3,2,3,2,2,2,3,3,0,1,0,0,1,3,2,3,2,2,3,2,4,4,
['900',1,1,1,2,9,4,3,1,3,4,3,8,3,1,1,6,4,2,3,1,1,1,2,2,7,3,8,2,6,2,1,4,3,3,2,3,2,3,2,3,3,1,0,0,0,0,1,1,2,1,2,3,2,2,2,
Drops,2,2,2,2,3,2,1,3,5,2,2,6,1,4,1,3,0,1,0,2,2,2,2,2,1,0,3,1,0,2,1,2,1,1,1,1,1,3,2,1,1,4,5,4,3,3,1,1,0,0,0,1,2,2,2,1.854545455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
