,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['5',4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['10',4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,
['15',4,4,4,3,12,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,7,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,
['20',4,4,4,3,12,3,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,11,4,12,4,8,4,4,7,4,4,4,4,4,3,3,3,4,3,3,2,4,4,4,4,3,4,4,4,4,4,4,
['25',4,4,4,3,11,4,4,8,8,4,4,12,4,4,2,8,4,4,4,4,4,4,4,4,12,4,14,4,8,4,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,2,3,3,4,4,4,4,
Drops,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0.2909090909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,12,5,4,3,8,4,5,16,4,4,2,9,4,3,4,4,4,4,4,4,10,4,13,4,8,4,3,8,4,4,3,4,4,5,5,4,4,4,4,3,3,4,4,4,3,2,3,4,4,4,4,
['5',4,4,4,2,10,5,4,3,8,4,6,17,4,4,2,10,4,3,4,4,3,4,4,4,9,4,13,4,7,4,3,8,4,3,3,4,4,5,5,4,4,3,3,2,4,4,4,3,3,1,1,4,4,4,4,
['10',4,4,4,2,11,5,4,4,8,4,5,16,4,4,1,8,4,3,4,4,3,4,4,4,8,4,14,4,8,4,3,8,4,3,3,4,4,5,5,4,4,4,3,2,4,4,4,4,4,3,3,4,4,4,4,
['15',4,4,4,4,10,5,4,4,8,3,5,19,4,4,2,9,4,3,3,4,4,4,4,4,11,4,11,3,7,3,2,7,3,3,3,4,4,3,3,2,3,4,4,3,3,4,4,4,2,2,3,4,5,4,4,
['20',4,4,4,2,6,5,4,4,6,4,5,15,4,4,2,8,4,3,4,3,3,3,4,4,7,4,10,2,6,2,2,6,3,3,3,4,4,2,3,2,3,2,2,0,1,4,4,4,3,1,3,4,3,3,3,
['25',7,4,4,2,7,7,4,3,7,2,6,20,4,4,1,4,3,2,2,2,2,2,3,4,5,4,6,2,7,3,2,4,3,1,2,3,3,3,1,1,2,1,1,0,3,5,3,3,2,3,2,3,4,4,4,
Drops,0,0,0,0,6,0,0,0,2,2,0,1,0,0,1,5,1,1,2,2,2,2,1,0,5,0,7,2,2,2,1,4,1,3,1,1,1,3,4,3,2,3,3,3,2,0,1,1,1,1,2,1,1,1,1,1.654545455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
