,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['0.9',4,4,4,2,10,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['0.8',4,4,4,2,10,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,3,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,
['0.7',3,3,3,1,8,3,4,5,5,3,3,10,4,5,3,5,3,3,3,3,2,2,2,3,7,3,8,3,8,3,2,5,3,3,3,3,3,2,2,3,3,4,3,3,3,3,2,1,3,3,2,2,2,2,3,
['0.6',4,1,0,0,2,6,1,4,1,2,2,4,4,4,2,1,2,1,1,0,0,0,0,0,1,0,3,0,2,0,0,3,2,1,2,1,0,0,0,0,0,6,0,0,0,1,0,0,2,1,1,1,1,1,1,
['0.5',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
Drops,1,1,1,2,3,1,0,3,3,1,1,2,0,0,0,3,1,1,1,1,2,2,2,1,5,1,5,1,0,1,2,3,1,1,1,1,1,2,2,1,1,0,1,0,1,1,2,3,1,1,1,2,2,2,1,1.454545455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,12,5,4,3,8,4,5,16,4,4,2,9,4,3,4,4,4,4,4,4,10,4,13,4,8,4,3,8,4,4,3,4,4,5,5,4,4,4,4,3,3,4,4,4,3,2,3,4,4,4,4,
['0.9',4,4,4,2,11,5,4,2,8,4,5,17,4,4,2,8,4,3,4,4,3,4,4,4,10,4,14,4,8,4,2,8,4,3,3,4,4,5,5,4,3,4,4,2,3,4,4,3,4,3,3,4,4,4,4,
['0.8',4,4,4,1,10,5,4,4,8,4,5,14,4,4,1,8,4,3,4,4,3,4,4,4,6,3,13,3,7,4,2,7,4,3,3,4,4,3,3,3,1,2,1,1,3,5,3,3,2,2,3,4,3,4,4,
['0.7',3,2,2,1,6,9,3,3,4,3,4,9,3,6,1,3,2,3,3,3,1,2,2,2,3,0,3,0,5,1,1,6,3,3,3,0,0,0,0,1,1,1,1,0,2,3,3,3,2,1,2,2,2,3,3,
['0.6',0,1,0,0,1,6,1,0,0,1,1,4,1,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0,3,1,0,3,0,0,0,0,0,0,6,1,0,0,1,0,0,1,0,0,0,0,1,1,
['0.5',0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,
Drops,1,2,2,1,6,0,1,1,4,1,1,7,1,0,1,6,2,0,1,1,3,2,2,2,7,4,10,4,3,3,2,2,1,1,0,4,4,5,5,3,3,3,3,3,1,1,1,1,1,1,1,2,2,1,1,2.381818182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
