,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station',
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English
Original,4,4,4,4,16,4,4,8,8,4,4,12,4,0,3,8,4,3,3,0,3,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['10',4,4,4,4,16,4,4,8,8,5,4,12,4,0,3,7,4,4,4,0,1,3,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['8',4,4,4,4,16,4,4,8,8,5,4,12,4,0,3,7,4,4,4,0,2,2,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,4,4,4,3,4,4,0,4,4,4,4,4,4,4,4,4,
['6',4,4,4,4,14,4,4,8,8,4,4,12,4,1,3,7,4,4,4,0,2,3,4,4,13,4,12,4,8,4,4,6,4,4,4,4,4,4,4,3,4,4,3,4,4,0,4,4,3,3,3,4,4,4,4,
['4',4,4,4,4,15,4,4,8,8,4,4,12,4,0,3,7,4,4,4,0,1,2,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,3,4,4,4,4,3,0,4,4,5,4,4,4,4,4,4,
['2',4,4,4,4,14,4,4,8,7,6,4,13,4,0,3,6,4,3,3,0,0,1,4,4,12,4,12,4,8,4,3,8,4,4,4,4,4,4,4,4,4,3,2,3,3,1,4,3,3,3,3,4,5,4,4,
Drops,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,1,1,1,0,0,0,0,0.4363636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ganda
Original,4,2,3,4,15,5,4,7,9,4,5,11,4,0,1,9,4,3,4,2,4,4,4,4,10,4,12,5,8,3,3,8,4,4,3,4,3,5,5,4,4,4,5,4,3,1,4,4,3,3,3,4,4,4,4,
['10',4,3,3,3,13,5,4,6,9,4,5,11,4,1,2,8,4,3,4,1,0,3,4,4,11,4,13,5,7,3,3,7,4,4,3,4,3,6,5,4,4,4,5,4,3,1,4,3,6,2,3,4,4,4,4,
['8',4,2,3,4,13,5,4,5,9,4,5,11,4,0,1,6,4,3,4,0,0,1,3,3,9,4,13,5,7,3,3,8,4,4,3,4,3,5,5,4,4,4,5,4,3,1,3,4,5,3,3,4,5,4,3,
['6',4,2,3,3,13,6,4,5,9,5,5,13,4,0,1,6,4,3,4,1,0,2,3,3,9,4,12,5,6,4,2,9,4,4,3,4,3,6,2,4,4,4,5,4,3,0,2,1,4,3,3,4,4,4,4,
['4',4,2,3,3,12,5,4,5,8,5,4,12,4,0,1,8,4,3,4,0,0,1,1,1,11,4,11,4,7,3,2,11,4,4,3,4,3,5,3,3,4,4,5,4,3,1,3,2,3,3,3,3,3,4,4,
['2',4,3,3,3,9,4,3,5,8,4,5,8,4,0,0,5,4,3,4,1,0,2,3,2,10,4,10,3,7,1,1,9,4,4,3,5,3,5,3,3,3,4,5,4,3,0,3,3,4,4,3,4,2,4,4,
Drops,0,0,0,1,6,1,1,2,1,0,1,3,0,0,1,4,0,0,0,2,4,3,3,3,1,0,2,2,2,2,2,1,0,0,0,0,0,0,3,1,1,0,0,0,0,1,2,3,0,1,0,1,2,0,1,1.163636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French
